recnum,person_id,fc_num,contact_date,sex,race,age,build,hair_style,skin_tone,ethnicity,otherclothing,deceased,license_state,license_type,was_frisked
,22898085580,FC20002332,2021-04-13 13:25:00.0000000,Male,Black,28,Stocky,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,22898090756,FC20002332,2021-04-13 13:25:00.0000000,Male,Black,20,Thin,Afro,Light,Unknown,,0,MA,ID Only - Never had Personal Driver License,0
,19256173492,FC20006178,2021-01-01 22:12:00.0000000,Male,White,24,Muscular,NULL,NULL,Hispanic Origin,,0,MA,,1
,19256175412,FC20006178,2021-01-01 22:12:00.0000000,Male,White,20,Thin,NULL,NULL,Hispanic Origin,,0,MA,,1
,19256179180,FC20006178,2021-01-01 22:12:00.0000000,Male,White,26,Thin,NULL,NULL,Hispanic Origin,,0,MA,,1
,19256181428,FC20006178,2021-01-01 22:12:00.0000000,Male,Black,21,Medium,Straight,Light,Hispanic Origin,,0,MA,No License - Record Only,1
,19254932430,FC21000001,2021-01-01 09:17:00.0000000,Male,Asian,44,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,19255439588,FC21000003,2021-01-01 14:46:00.0000000,Female,White,20,NULL,NULL,NULL,Hispanic Origin,,0,RI,Class D,0
,19255552632,FC21000004,2021-01-01 14:42:00.0000000,Female,White,43,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,NULL
,19255554034,FC21000004,2021-01-01 14:42:00.0000000,Male,Black,26,Thin,Curly,NULL,NULL,,0,MA,,1
,19255554328,FC21000004,2021-01-01 14:42:00.0000000,Male,Black,25,Stocky,NULL,Medium Brown,NULL,,0,MA,,1
,19255955847,FC21000006,2021-01-01 20:35:00.0000000,Male,White,37,NULL,NULL,NULL,Hispanic Origin,,0,NULL,,1
,19255956755,FC21000007,2021-01-01 18:08:00.0000000,Female,Unknown,22,NULL,NULL,NULL,Unknown,,0,MA,CDL Class B,0
,19256289778,FC21000008,2021-01-02 00:25:00.0000000,Male,White,21,Unknown,NULL,NULL,Hispanic Origin,,0,MA,No License - Record Only,0
,19256418317,FC21000009,2021-01-02 00:17:00.0000000,Male,White,58,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,19256528047,FC21000011,2021-01-02 02:31:00.0000000,Male,Black,53,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,19256532865,FC21000011,2021-01-02 02:31:00.0000000,Male,White,38,NULL,NULL,NULL,Unknown,,0,MA,Class D,1
,19256590134,FC21000012,2021-01-02 03:32:00.0000000,Male,Unknown,34,NULL,NULL,NULL,NULL,,0,NULL,,0
,19256777570,FC21000013,2021-01-02 04:25:00.0000000,Male,Black,30,Medium,Corn Rows,Medium Brown,NULL,,0,MA,,1
,19256777988,FC21000013,2021-01-02 04:25:00.0000000,Female,Black,35,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,1
,19256778240,FC21000013,2021-01-02 04:25:00.0000000,Male,Black,23,NULL,NULL,NULL,Unknown,,0,MA,Class D,1
,19256778306,FC21000013,2021-01-02 04:25:00.0000000,Female,Black,32,NULL,NULL,NULL,Unknown,,0,MA,Class D,1
,19257029392,FC21000014,2021-01-02 09:07:00.0000000,Male,Black,39,Medium,Afro,Dark Brown,Not of Hispanic Origin,,0,MA,"ID - Had a License, now has ID",1
,19257281509,FC21000015,2021-01-02 13:15:00.0000000,Female,White,34,Heavy,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,19257283827,FC21000015,2021-01-02 13:15:00.0000000,Male,White,35,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,1
,19257422503,FC21000016,2021-01-02 02:30:00.0000000,Male,Black,40,Heavy,NULL,NULL,Not of Hispanic Origin,,0,MA,None,0
,19257899648,FC21000017,2021-01-02 17:40:00.0000000,Male,Black,33,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,1
,19257903230,FC21000017,2021-01-02 17:40:00.0000000,Male,Black,34,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,,1
,19257833979,FC21000018,2021-01-02 17:21:00.0000000,Male,Black,53,Medium,NULL,Dark,Not of Hispanic Origin,,0,MA,None,1
,19257834149,FC21000018,2021-01-02 17:21:00.0000000,Male,White,59,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,1
,19258061953,FC21000019,2021-01-02 19:45:00.0000000,Female,Black,34,NULL,NULL,NULL,Unknown,,0,NULL,,0
,19258174738,FC21000020,2021-01-01 22:36:00.0000000,Male,Black,24,Thin,Short,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,19258178341,FC21000020,2021-01-01 22:36:00.0000000,Male,Black,27,Muscular,Wavy,Medium,NULL,,0,MA,Class D,0
,19258186121,FC21000020,2021-01-01 22:36:00.0000000,Male,Black,24,NULL,NULL,NULL,Unknown,,0,MA,Class D,0
,19258718235,FC21000022,2021-01-01 23:52:00.0000000,Male,Black,18,NULL,NULL,NULL,Unknown,,0,NULL,,1
,19258723706,FC21000022,2021-01-01 23:52:00.0000000,Male,Black,18,NULL,NULL,NULL,Unknown,,0,VA,Class D,1
,19258726377,FC21000022,2021-01-01 23:52:00.0000000,Male,White,19,NULL,NULL,NULL,Unknown,,0,MA,Class D,1
,19259204191,FC21000023,2021-01-03 10:30:00.0000000,Male,Black,32,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,19259432787,FC21000023,2021-01-03 10:30:00.0000000,Male,Black,26,Medium,Short,Light Brown,Not of Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,0
,19259391218,FC21000025,2021-01-03 12:12:00.0000000,Female,White,36,Heavy,Straight,NULL,Not of Hispanic Origin,,0,MA,,0
,19259424900,FC21000026,2021-01-03 14:00:00.0000000,Female,White,43,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,,NULL
,19259428877,FC21000026,2021-01-03 14:00:00.0000000,Male,Other,24,NULL,NULL,NULL,Hispanic Origin,,0,RI,,0
,19259623214,FC21000027,2021-01-02 17:30:00.0000000,Male,White,19,Thin,NULL,NULL,Hispanic Origin,,0,MA,,1
,19259625731,FC21000027,2021-01-02 17:30:00.0000000,Male,White,20,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,0
,19259703107,FC21000028,2021-01-03 17:00:00.0000000,Male,Black,32,Heavy,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,19260004017,FC21000029,2021-01-03 18:30:00.0000000,Male,Black,37,Thin,Dreadlocks,Dark Brown,Not of Hispanic Origin,,0,MA,No License - Record Only,0
,19260023856,FC21000029,2021-01-03 18:30:00.0000000,Female,Black,37,Thin,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,19260146223,FC21000030,2021-01-03 21:30:00.0000000,Male,Black,22,NULL,NULL,NULL,Unknown,,0,MA,Class D,0
,19260147837,FC21000030,2021-01-03 21:30:00.0000000,Male,Black,24,NULL,NULL,NULL,Not of Hispanic Origin,,0,NULL,,0
,19260146275,FC21000031,2021-01-03 16:41:00.0000000,Male,Black,43,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,19260268525,FC21000032,2021-01-03 21:45:00.0000000,Male,Black,22,NULL,NULL,NULL,Not of Hispanic Origin,,0,MA,Class D,0
,19260270097,FC21000032,2021-01-03 21:45:00.0000000,Male,Black,29,Medium,NULL,NULL,Not of Hispanic Origin,,0,MA,,0
,19260244869,FC21000033,2021-01-03 22:48:00.0000000,Male,Black,26,Medium,Twists,Medium Brown,Not of Hispanic Origin,,0,MA,ID Only - Never had Personal Driver License,0
,19260359453,FC21000034,2021-01-03 23:30:00.0000000,Female,Unknown,21,NULL,NULL,NULL,NULL,,0,NULL,,NULL
,19260360170,FC21000034,2021-01-03 23:30:00.0000000,Male,Black,20,NULL,NULL,NULL,NULL,,0,NULL,,1
,19260360489,FC21000034,2021-01-03 23:30:00.0000000,Male,Black,24,Medium,NULL,NULL,Hispanic Origin,,0,MA,,1
,19260361486,FC21000034,2021-01-03 23:30:00.0000000,Male,Black,20,Thin,Braided,Medium Brown,NULL,,0,MA,,1
,19260361693,FC21000034,2021-01-03 23:30:00.0000000,Male,White,21,Heavy,NULL,NULL,Hispanic Origin,,0,MA,,1
,19260380156,FC21000034,2021-01-03 23:30:00.0000000,Male,White,24,NULL,NULL,NULL,Hispanic Origin,,0,MA,Class D,0
,19260428372,FC21000034,2021-01-03 23:30:00.0000000,Female,Unknown,30,NULL,NULL,NULL,Unknown,,0,NULL,,1
,19261021681,FC21000035,2021-01-04 08:12:00.0000000,Male,White,41,Medium,Short,Light,Not of Hispanic Origin,,0,MA,Class D,0
,19261037159,FC21000036,2021-01-04 11:00:00.0000000,Male,Black,25,Medium,Afro,NULL,Not of Hispanic Origin,,0,MA,,1
